frame,body_id,x,y,vx,vy,mass
72,3,4.44681,1.76713,1.9714,1.10644,1
72,4,6.67626,2.46367,0.847727,2.00254,1
72,5,3.37502,75.3763,3.36528,103.437,1
73,0,2.48826,-69.4232,2.01154,-96.496,1
73,1,2.52778,2.43654,2.14335,-0.887772,1
73,2,2.30405,6.71414,1.66383,0.836253,1
73,3,4.46652,1.77821,1.97078,1.10808,1
73,4,6.68471,2.48369,0.845209,2.00218,1
73,5,3.40867,76.4107,3.36528,103.437,1
74,0,2.50837,-70.3882,2.01154,-96.496,1
74,1,2.54924,2.42766,2.14616,-0.887989,1
74,2,2.32069,6.72249,1.6642,0.835206,1
74,3,4.48622,1.78931,1.97014,1.10973,1
74,4,6.69314,2.50371,0.842678,2.0018,1
74,5,3.44233,77.445,3.36528,103.437,1
75,0,2.52849,-71.3532,2.01154,-96.496,1
75,1,2.57073,2.41877,2.149,-0.888191,1
75,2,2.33734,6.73083,1.66456,0.834163,1
75,3,4.50591,1.80042,1.96949,1.11137,1
75,4,6.70154,2.52372,0.840133,2.00141,1
75,5,3.47598,78.4794,3.36528,103.437,1
76,0,2.5486,-72.3181,2.01154,-96.496,1
76,1,2.59225,2.40989,2.15187,-0.888378,1
76,2,2.35399,6.73916,1.66492,0.833123,1
76,3,4.5256,1.81155,1.96882,1.113,1
76,4,6.70992,2.54373,0.837574,2.00099,1
76,5,3.50963,79.5138,3.36528,103.437,1
77,0,2.56872,-73.2831,2.01154,-96.496,1
77,1,2.6138,2.40101,2.15476,-0.88855,1
77,2,2.37064,6.74749,1.66529,0.832087,1
77,3,4.54528,1.8227,1.96814,1.11464,1
77,4,6.71827,2.56374,0.835001,2.00057,1
77,5,3.54329,80.5482,3.36528,103.437,1
78,0,2.58883,-74.248,2.01154,-96.496,1
78,1,2.63538,2.39212,2.15768,-0.888705,1
78,2,2.3873,6.7558,1.66565,0.831055,1
78,3,4.56496,1.83386,1.96744,1.11627,1
78,4,6.72659,2.58374,0.832415,2.00012,1
78,5,3.57694,81.5825,3.36528,103.437,1
79,0,2.60895,-75.213,2.01154,-96.496,1
79,1,2.65698,2.38323,2.16062,-0.888843,1
79,2,2.40396,6.7641,1.66602,0.830025,1
79,3,4.58463,1.84504,1.96672,1.1179,1
79,4,6.73489,2.60373,0.829816,1.99966,1
79,5,3.61059,82.6169,3.36528,103.437,1
80,0,2.62906,-76.178,2.01154,-96.496,1
80,1,2.67862,2.37434,2.1636,-0.888964,1
80,2,2.42062,6.77239,1.66639,0.828999,1
80,3,4.60429,1.85623,1.96599,1.11953,1
80,4,6.74316,2.62373,0.827203,1.99918,1
80,5,3.64424,83.6513,3.36528,103.437,1
81,0,2.64918,-77.1429,2.01154,-96.496,1
81,1,2.70029,2.36545,2.1666,-0.889066,1
81,2,2.43729,6.78067,1.66676,0.827976,1
81,3,4.62394,1.86745,1.96524,1.12115,1
81,4,6.75141,2.64371,0.824578,1.99868,1
81,5,3.6779,84.6857,3.36528,103.437,1
82,0,2.6693,-78.1079,2.01154,-96.496,1
82,1,2.72198,2.35656,2.16962,-0.889149,1
82,2,2.45396,6.78894,1.66714,0.826957,1
82,3,4.64358,1.87867,1.96448,1.12277,1
82,4,6.75963,2.66369,0.821939,1.99816,1
82,5,3.71155,85.72,3.36528,103.437,1
83,0,2.68941,-79.0728,2.01154,-96.496,1
83,1,2.74371,2.34767,2.17268,-0.889212,1
83,2,2.47064,6.7972,1.66751,0.82594,1
83,3,4.66322,1.88992,1.96371,1.12439,1
83,4,6.76782,2.68367,0.819287,1.99763,1
83,5,3.7452,86.7544,3.36528,103.437,1
84,0,2.70953,-80.0378,2.01154,-96.4959,1
84,1,2.76547,2.33877,2.17575,-0.889255,1
84,2,2.48732,6.80544,1.66789,0.824927,1
